1.856,Catriona: Moira?,Catriona: Moira?,TheEndBase_part_0.mp3
1.484,Moira: Mom?,Moira: Mom?,TheEndBase_part_1.mp3
1.274,Catriona: Ja!,Catriona: Yes!,TheEndBase_part_2.mp3
1.966,"Moira: Aber, wie?",Moira: But how?,TheEndBase_part_3.mp3
2.643,"Catriona: Oh mein Gott, ich dachte, ich hätte dich verloren.","Catriona: Oh my God, I thought I had lost you.",TheEndBase_part_4.mp3
1.744,Catriona: Geht's dir gut mein Engel?,"Catriona: Are you all right, my angel?",TheEndBase_part_5.mp3
3.374,"Moira: Ja Mom, mir geht es gut. Aber...","Moira: Yes Mom, I'm fine. But...",TheEndBase_part_6.mp3
3.544,Moira: ... wie kommst du hier her? Ich versteh' das alles nicht.,Moira: ... how did you get here? I don't understand any of this.,TheEndBase_part_7.mp3
2.261,"Catriona: Mein Schatz, das ist eine lange Geschichte.","Catriona: My darling, it's a long story.",TheEndBase_part_8.mp3
4.150,"Catriona: Wichtig ist nur, dass dein Dad und ich dich gefunden haben. Und es dir gut geht.",Catriona: The important thing is that your dad and I found you. And you are well.,TheEndBase_part_9.mp3
0.945,Moira: Dad?!,Moira: Dad?!,TheEndBase_part_10.mp3
0.743,Robert: Ja?,Robert: Yes?,TheEndBase_part_11.mp3
1.303,Moira: Was?! Dad?!,Moira: What?! Dad?!,TheEndBase_part_12.mp3
1.207,Robert: Ja!,Robert: Yes!,TheEndBase_part_13.mp3
3.557,Moira: Ihr seid gemeinsam wegen mir hier hergekommen?,Moira: You came here together because of me?,TheEndBase_part_14.mp3
1.464,"Robert: Wir lieben dich , Prinzessin.","Robert: We love you, princess.",TheEndBase_part_15.mp3
2.524,"Moira: Ich weiß, danke.","Moira: I know, thank you.",TheEndBase_part_16.mp3
2.550,Robert: Wir sollten runter von dieser gottverlassenen Station.,Robert: We should get off this godforsaken station.,TheEndBase_part_17.mp3
2.771,"Robert: Moira, diese Rettungskapseln hier, sind die intakt?","Robert: Moira, these escape pods here, are they intact?",TheEndBase_part_18.mp3
2.141,"Moira: Ja, ich denke schon.","Moira: Yes, I think so.",TheEndBase_part_19.mp3
3.211,"Catriona: Na los, lassen wir das Rettungsteam nicht warten.","Catriona: Come on, let's not keep the rescue team waiting.",TheEndBase_part_20.mp3
1.338,"Catriona: Bis gleich, mein Engel.","Catriona: See you soon, my angel.",TheEndBase_part_21.mp3
1.858,Moira: Mom? Dad?,Moira: Mom? Dad?,TheEndBase_part_22.mp3
1.07,Robert & Catriona: Ja?,Robert & Catriona: Yes?,TheEndBase_part_23.mp3
1.134,Moira: Ich liebe euch.,Moira: I love you.,TheEndBase_part_24.mp3
1.307,"Robert: Alles wird gut, Prinzessin.","Robert: Everything will be fine, princess.",TheEndBase_part_25.mp3
1.314,"Robert: Du bist die Nächste, Cat.","Robert: You're next, Cat.",TheEndBase_part_26.mp3
