1.948,Catriona: Fuck! Was war das?,Catriona: Fuck! What was that?,03Act1_Cockpit_24_Cut_Dialog.mp3
2.782,Robert: Die Verteidigungssysteme haben das Feuer auf uns eröffnet.,Robert: The defense systems have opened fire on us.,03Act1_Cockpit_25_Cut_Dialog.mp3
2.568,Flight Controller: Flight Commander schalten Sie auf manuell und brechen Sie ab.,Flight Controller: Flight commander switch to manual and abort the mission.,03Act1_Cockpit_26_Cut_Dialog.mp3
1.823,Catriona: Rob ich muss da rein.,"Catriona: Rob, I have to go in there.",03Act1_Cockpit_27_Cut_Dialog.mp3
1.511,"Robert: Was, wieso?","Robert: What, why?",03Act1_Cockpit_28_Cut_Dialog.mp3
2.016,Flight Controller: Wiederhole Manöver abbrechen.,Flight Controller: Repeat. Abort Maneuvers.,03Act1_Cockpit_29_Cut_Dialog.mp3
2.802,Catriona: Kann ich jetzt nicht erklären. Du musst mir vertrauen.,Catriona: I can't explain it now. You have to trust me.,03Act1_Cockpit_30_Cut_Dialog.mp3
1.248,Flight Controller: Flight Commander hören Sie.,Flight Controller: Flight commander are you listening?,03Act1_Cockpit_31_Cut_Dialog.mp3
4.440,"Robert: Nagut, ich kann das. Negativ Flight Control ich bringe das zu Ende. ","Robert: Well, I can do that. Negative flight control I'm finishing this. ",03Act1_Cockpit_32_Cut_Dialog.mp3
960,Flight Controller: Wie bitte?,Flight Controller: Excuse me?,03Act1_Cockpit_33_Cut_Dialog.mp3
1.906,Catriona: Vermassle es bloß nicht.,Catriona: Don't screw it up.,03Act1_Cockpit_34_Cut_Dialog.mp3
2.456,Robert: Ich sagte doch ich kann das.,Robert: I told you I could do it.,03Act1_Cockpit_35_Cut_Dialog.mp3
1.049,Robert: Fuck!,Robert: Fuck!,03Act1_Cockpit_36_Cut_Dialog.mp3
