2.14,Catriona: Robert.,Catriona: Robert.,AfterResonance3_part_0.mp3
2.963,Catriona: Ist das jener Tag gewesen?,Catriona: Was it that day?,AfterResonance3_part_1.mp3
2.115,Robert: Ja.,Robert: Yes.,AfterResonance3_part_2.mp3
2.699,"Robert: Ja, ich denke, das ist er.","Robert: Yes, I think it is.",AfterResonance3_part_3.mp3
3.406,Catriona: Ich will den Rest davon nicht noch einmal erleben müssen.,Catriona: I don't want to have to relive the rest of it.,AfterResonance3_part_4.mp3
3.003,Robert: Ich auch nicht.,Robert: Neither do I.,AfterResonance3_part_5.mp3
3.217,"Robert: Aber ich glaube kaum, dass wir darauf Einfluss nehmen können.",Robert: But I don't think we can influence it.,AfterResonance3_part_6.mp3
2.284,Robert: Dieses verdammte Zeug hat seine eigenen Gesetze.,Robert: This damn stuff has its own laws.,AfterResonance3_part_7.mp3
3.381,"Catriona: Ich weiß nicht, ob ich es nochmal ertragen würde.",Catriona: I don't know if I could bear it again.,AfterResonance3_part_8.mp3
3.389,"Catriona: Ich fange an zu begreifen, was diese Leute hier in den Wahnsinn getrieben hat.",Catriona: I'm starting to understand what drove these people crazy here.,AfterResonance3_part_9.mp3
2.2,Robert: Hey hey hey hey.,Robert: Hey hey hey hey.,AfterResonance3_part_10.mp3
4.041,"Robert: Was auch immer passiert, ich stehe an deiner Seite.","Robert: Whatever happens, I will stand at your side.",AfterResonance3_part_11.mp3
